STT,C1,C2,D,H,C/D,H/D
13,376,395,2065,1307,0.1820823244552058,0.6329297820823244
14,376,392,2065,1307,0.1820823244552058,0.6329297820823244
15,378,396,2065,1307,0.18305084745762712,0.6329297820823244
16,379,397,2065,1307,0.18353510895883776,0.6329297820823244
17,379,396,2065,1307,0.18353510895883776,0.6329297820823244
18,379,401,2065,1307,0.18353510895883776,0.6329297820823244
19,375,393,2065,1307,0.18159806295399517,0.6329297820823244
20,376,395,2065,1307,0.1820823244552058,0.6329297820823244
21,375,395,2065,1307,0.18159806295399517,0.6329297820823244
22,378,397,2065,1307,0.18305084745762712,0.6329297820823244
23,376,398,2065,1307,0.1820823244552058,0.6329297820823244
24,376,396,2065,1307,0.1820823244552058,0.6329297820823244
25,375,394,2065,1307,0.18159806295399517,0.6329297820823244
26,375,394,2065,1307,0.18159806295399517,0.6329297820823244
27,374,392,2065,1307,0.1811138014527845,0.6329297820823244
28,379,395,2065,1307,0.18353510895883776,0.6329297820823244
29,375,395,2065,1307,0.18159806295399517,0.6329297820823244
30,376,395,2065,1307,0.1820823244552058,0.6329297820823244
31,382,394,2065,1307,0.18498789346246974,0.6329297820823244
32,370,395,2065,1307,0.1791767554479419,0.6329297820823244
33,375,398,2065,1307,0.18159806295399517,0.6329297820823244
34,375,398,2065,1307,0.18159806295399517,0.6329297820823244
35,379,392,2065,1307,0.18353510895883776,0.6329297820823244
36,375,396,2065,1307,0.18159806295399517,0.6329297820823244
37,377,392,2065,1307,0.18256658595641648,0.6329297820823244
