STT,C1,C2,D,H,C1/D,C2/D,H/D
39,375,399,2060,1307,0.1820388349514563,0.19368932038834952,0.6344660194174757
40,374,398,2061,1307,0.18146530810286268,0.193110140708394,0.6341581756428918
41,375,393,2060,1307,0.1820388349514563,0.19077669902912622,0.6344660194174757
42,379,398,2060,1306,0.18398058252427185,0.19320388349514564,0.6339805825242718
43,382,398,2061,1307,0.18534691897137312,0.193110140708394,0.6341581756428918
44,375,399,2060,1306,0.1820388349514563,0.19368932038834952,0.6339805825242718
45,375,398,2060,1307,0.1820388349514563,0.19320388349514564,0.6344660194174757
46,378,396,2060,1307,0.18349514563106797,0.19223300970873786,0.6344660194174757
47,374,398,2060,1307,0.18155339805825244,0.19320388349514564,0.6344660194174757
48,375,399,2060,1307,0.1820388349514563,0.19368932038834952,0.6344660194174757
49,375,398,2060,1307,0.1820388349514563,0.19320388349514564,0.6344660194174757
Checkpoint {number_check} completed.
0,378,398,2060,1306,0.18349514563106797,0.19320388349514564,0.6339805825242718
1,375,398,2060,1307,0.1820388349514563,0.19320388349514564,0.6344660194174757
2,375,399,2060,1307,0.1820388349514563,0.19368932038834952,0.6344660194174757
3,375,399,2060,1307,0.1820388349514563,0.19368932038834952,0.6344660194174757
4,375,398,2060,1307,0.1820388349514563,0.19320388349514564,0.6344660194174757
