STT,C1,C2,D,H,C1/D,C2/D,H/D
21,374,399,2060,1306,0.18155339805825244,0.19368932038834952,0.6339805825242718
22,375,397,2060,1307,0.1820388349514563,0.19271844660194173,0.6344660194174757
23,374,398,2060,1307,0.18155339805825244,0.19320388349514564,0.6344660194174757
24,375,396,2060,1307,0.1820388349514563,0.19223300970873786,0.6344660194174757
25,379,398,2060,1307,0.18398058252427185,0.19320388349514564,0.6344660194174757
26,379,398,2061,1307,0.1838913148956817,0.193110140708394,0.6341581756428918
27,374,398,2061,1307,0.18146530810286268,0.193110140708394,0.6341581756428918
28,375,398,2060,1306,0.1820388349514563,0.19320388349514564,0.6339805825242718
29,374,401,2060,1307,0.18155339805825244,0.19466019417475727,0.6344660194174757
30,378,398,2060,1307,0.18349514563106797,0.19320388349514564,0.6344660194174757
